year,ic,name,companyId,address,share
2022,71443142,,,,
2022,04997841,,,,
2022,05391628,,,,
2022,10954899,,,,
2022,03204723,,,,
2022,02674831,,,,
2022,07921331,,,,
2022,71443185,,,,
2022,68321457,,,,
2022,03174531,,,,
2022,27039145,,,,
2022,09233229,,,,
2022,14290910,,,,
2022,71443312,,,,
2022,02733552,,,,
2022,04889321,,,,
2022,71339965,,,,
2022,00442704,Nový Hlas s.r.o.,26505576.0,"Karlovo náměstí 317/5, Praha 2, 128 00",100.0
2022,07196989,,,,
2022,27034321,,,,
2022,15271960,,,,
2022,71339973,,,,
2022,00496936,"FUTURA, a.s.",16192893.0,"Politických vězňů 9, 111 21 Praha 1",92.0
2022,03152952,,,,
2022,71339582,,,,
2022,49628089,,,,
2022,17177782,,,,
2022,07157029,,,,
2022,26598647,,,,
2022,03254747,,,,
2022,44266740,,,,
2022,60556625,,,,
2022,17187087,,,,
2022,17334799,,,,
2022,07027761,,,,
2022,07286210,,,,
2022,07312946,,,,
2022,71443452,,,,
2022,69345473,,,,
2022,17333709,,,,
2022,09340718,,,,
2022,11677309,,,,
2022,60458399,,,,
2022,71339779,,,,
2022,27034500,,,,
2022,71443649,,,,
2022,27053024,,,,
2022,03219208,,,,
2022,71443584,,,,
2022,03174697,,,,
2022,03016242,,,,
2022,26668980,,,,
2022,17133742,,,,
2022,16192656,Adved s.r.o.,28925009.0,"Truhlářská 1106/9, 110 00 Praha 1",50.0
2022,14212129,,,,
2022,06860176,,,,
2022,03099598,,,,
2022,71443517,,,,
2022,03221083,,,,
2022,71443215,,,,
2022,09363149,,,,
2022,17239800,,,,
2022,03080935,,,,
2022,71339698,1. Pirátská s.r.o.,6194559.0,"Na Moráni 360/3, Nové Město (Praha 2), 128 00 Praha",100.0
2022,08960909,,,,
2022,14356813,,,,
2022,71443550,,,,
2022,17085438,,,,
2022,02885573,,,,
2022,07283652,,,,
2022,01870360,,,,
2022,03204669,,,,
2022,10742409,,,,
2022,27038131,,,,
2022,03091805,,,,
2022,03254763,,,,
2022,17254353,,,,
2022,71443380,,,,
2022,26595940,,,,
2022,27026922,,,,
2022,06695205,,,,
2022,09607684,,,,
2022,71443347,,,,
2022,17313155,,,,
2022,71339485,,,,
2022,10997113,,,,
2022,07218443,,,,
2022,71339990,,,,
2022,70869553,,,,
2022,05081068,,,,
2022,00409171,"Cíl, akciová společnost v Praze",26165376.0,"Hybernská 1033/7, 11000 Praha 1",100.0
2022,03116603,,,,
2022,71339655,,,,
2022,03217116,,,,
2022,07118317,,,,
2022,03221199,,,,
2022,71339752,,,,
2022,71339922,,,,
2022,17335191,,,,
2022,17084997,,,,
2022,26673908,BeSTAN s.r.o.,10824120.0,"Malostranské náměstí 266/5, 11800 Praha",100.0
2022,71443444,,,,
2022,71340009,,,,
2022,71339612,,,,
2022,17212596,,,,
2022,03251501,,,,
2022,71443177,,,,
2022,26582406,,,,
2022,03143848,,,,
2022,71339728,,,,
2022,02749947,,,,
2022,08288909,,,,
2022,07986858,,,,
2022,02790840,,,,
2022,68954263,,,,
2022,07195389,,,,
2022,71443355,,,,
2022,71339892,,,,
2022,04616421,,,,
2022,71339817,,,,
2022,68210396,,,,
2022,27040097,,,,
2022,07324758,,,,
2022,04997808,,,,
2022,03247686,,,,
2022,08773297,,,,
2022,00409740,,,,
2022,68684011,,,,
2022,07156871,,,,
2022,71443363,,,,
2022,17263581,,,,
2022,17213754,,,,
2022,71443401,,,,
2022,71339850,,,,
2022,07202059,,,,
2022,03136922,,,,
2023,17262984,,,,
2023,05402450,,,,
2023,14369664,,,,
2023,04627695,,,,
2023,71443339,,,,
2023,71443274,,,,
2023,07289731,,,,
2023,05989175,,,,
2023,14179792,,,,
2023,26587840,,,,
2023,05103487,,,,
2023,09182004,,,,
2023,14334887,,,,
2023,05754577,,,,
2023,03094553,,,,
2023,00442721,,,,
2023,71443207,,,,
2023,71443240,,,,
2023,07972733,,,,
2023,09977023,,,,
2023,71443142,,,,
2023,04997841,,,,
