date_year,party_key,job_key,job_count
2020-01-01,7157029,,
2020-01-01,68455941,,
2020-01-01,26598647,,
2020-01-01,3254747,,
2020-01-01,44266740,55.0,1.0
2020-01-01,60556625,,
2020-01-01,9301020,,
2020-01-01,7027761,,
2020-01-01,7286210,,
2020-01-01,7312946,,
2020-01-01,71443452,,
2020-01-01,9340718,,
2020-01-01,60458399,,
2020-01-01,71339779,,
2020-01-01,27034500,,
2020-01-01,71443649,,
2020-01-01,27053024,,
2020-01-01,71443584,,
2020-01-01,3174697,,
2020-01-01,3016242,,
2020-01-01,26668980,,
2020-01-01,16192656,22.0,16.0
2020-01-01,16192656,152.0,10.0
2020-01-01,16192656,14.0,6.0
2020-01-01,16192656,142.0,10.0
2020-01-01,16192656,159.0,7.0
2020-01-01,6860176,,
2020-01-01,3099598,,
2020-01-01,71443517,,
2020-01-01,3221083,8.0,1.0
2020-01-01,71443215,13.0,1.0
2020-01-01,9363149,,
2020-01-01,71443681,,
2020-01-01,3080935,,
2020-01-01,71339698,86.0,9.0
2020-01-01,71339698,154.0,3.0
2020-01-01,71339698,165.0,2.0
2020-01-01,71339698,14.0,12.0
2020-01-01,71339698,82.0,1.0
2020-01-01,71339698,52.0,3.0
2020-01-01,3170624,,
2020-01-01,8960909,,
2020-01-01,71443550,,
2020-01-01,2885573,,
2020-01-01,7283652,,
2020-01-01,4756339,,
2020-01-01,3204669,8.0,1.0
2020-01-01,71339809,,
2020-01-01,27038131,,
2020-01-01,3091805,,
2020-01-01,3254763,,
2020-01-01,71443380,,
2020-01-01,26595940,,
2020-01-01,27026922,,
2020-01-01,6695205,,
2020-01-01,71443347,,
2020-01-01,71339485,,
2020-01-01,71339990,,
2020-01-01,70869553,,
2020-01-01,5081068,,
2020-01-01,409171,95.0,41.0
2020-01-01,409171,93.0,8.0
2020-01-01,409171,146.0,1.0
2020-01-01,409171,145.0,10.0
2020-01-01,409171,104.0,1.0
2020-01-01,409171,151.0,3.0
2020-01-01,409171,156.0,1.0
2020-01-01,409171,26.0,1.0
2020-01-01,3116603,,
2020-01-01,71339655,,
2020-01-01,3217116,,
2020-01-01,7118317,,
2020-01-01,3221199,,
2020-01-01,71339752,2.0,1.0
2020-01-01,71339922,,
2020-01-01,26673908,,1.0
2020-01-01,71443444,,
2020-01-01,71340009,,
2020-01-01,71339612,13.0,1.0
2020-01-01,3251501,,
2020-01-01,71443177,,
2020-01-01,26582406,,
2020-01-01,3143848,,
2020-01-01,71339728,54.0,1.0
2020-01-01,71339728,148.0,1.0
2020-01-01,71339728,28.0,2.0
2020-01-01,71339728,23.0,1.0
2020-01-01,2749947,,
2020-01-01,8288909,0.0,6.0
2020-01-01,7986858,,
2020-01-01,2790840,,
2020-01-01,68954263,,
2020-01-01,7195389,,
2020-01-01,71443355,35.0,1.0
2020-01-01,7301600,46.0,2.0
2020-01-01,71339892,,
2020-01-01,4616421,,
2020-01-01,71339817,,
2020-01-01,68210396,,
2020-01-01,27040097,,
2020-01-01,7324758,,
2020-01-01,4997808,,
2020-01-01,3247686,,
2020-01-01,8773297,,
2020-01-01,71340084,,
2020-01-01,409740,,
2020-01-01,68684011,,
2020-01-01,7156871,,
2020-01-01,71443363,118.0,1.0
2020-01-01,71443401,,
2020-01-01,71339850,,
2020-01-01,7202059,,
2020-01-01,3136922,,
2021-01-01,5402450,,
2021-01-01,4627695,,
2021-01-01,71443274,,
2021-01-01,7289731,,
2021-01-01,5989175,,
2021-01-01,26587840,,
2021-01-01,7204752,,
2021-01-01,5103487,,
2021-01-01,9182004,66.0,1.0
2021-01-01,3094553,,
2021-01-01,442721,,
2021-01-01,27015904,,
2021-01-01,71443207,,
2021-01-01,71443240,,
2021-01-01,7972733,,
2021-01-01,9977023,,
2021-01-01,4997841,,
2021-01-01,5391628,,
2021-01-01,10954899,18.0,1.0
2021-01-01,3168786,,
2021-01-01,3204723,,
2021-01-01,7921331,,
2021-01-01,71443185,,
2021-01-01,68321457,,
2021-01-01,3174531,,
2021-01-01,27039145,,
2021-01-01,9233229,,
2021-01-01,26600218,,
2021-01-01,71443312,,
2021-01-01,2733552,,
2021-01-01,4889321,,
2021-01-01,71339965,,
2021-01-01,7196989,,
2021-01-01,27034321,,
2021-01-01,15271960,,
2021-01-01,71339973,,
2021-01-01,496936,102.0,118.0
2021-01-01,496936,90.0,66.0
2021-01-01,496936,62.0,46.0
2021-01-01,3152952,,
2021-01-01,71339582,,
2021-01-01,49628089,,
2021-01-01,60456400,,
2021-01-01,7157029,,
2021-01-01,26598647,,
2021-01-01,3254747,,
2021-01-01,44266740,54.0,1.0
2021-01-01,60556625,,
2021-01-01,7027761,,
2021-01-01,7286210,,
2021-01-01,7312946,,
2021-01-01,71443452,,
2021-01-01,9340718,,
2021-01-01,60458399,,
2021-01-01,71339779,,
2021-01-01,27034500,,
2021-01-01,71443649,,
2021-01-01,27053024,,
2021-01-01,71443584,,
2021-01-01,3174697,,
2021-01-01,3016242,,
2021-01-01,26668980,,
2021-01-01,16192656,22.0,18.0
2021-01-01,16192656,152.0,10.0
2021-01-01,16192656,14.0,6.0
2021-01-01,16192656,142.0,10.0
2021-01-01,16192656,159.0,8.0
2021-01-01,6860176,,
2021-01-01,3099598,,
2021-01-01,71443517,,
2021-01-01,3221083,8.0,1.0
2021-01-01,71443215,13.0,1.0
2021-01-01,9363149,,
2021-01-01,71443681,,
2021-01-01,3080935,,
2021-01-01,71339698,86.0,11.0
2021-01-01,71339698,154.0,3.0
2021-01-01,71339698,34.0,1.0
2021-01-01,71339698,14.0,5.0
2021-01-01,71339698,122.0,1.0
2021-01-01,71339698,52.0,4.0
2021-01-01,3170624,,
2021-01-01,8960909,,
2021-01-01,71443550,,
2021-01-01,2885573,,
2021-01-01,3204669,5.0,1.0
2021-01-01,10742409,81.0,1.0
2021-01-01,10742409,18.0,1.0
2021-01-01,10742409,59.0,1.0
2021-01-01,10742409,130.0,1.0
2021-01-01,10742409,78.0,1.0
2021-01-01,27038131,,
2021-01-01,3091805,,
2021-01-01,3254763,,
2021-01-01,71443380,,
2021-01-01,26595940,,
2021-01-01,27026922,,
2021-01-01,6695205,,
2021-01-01,71443347,,
2021-01-01,71339485,14.0,3.0
2021-01-01,7218443,,
2021-01-01,71339990,,
2021-01-01,70869553,,
2021-01-01,5081068,20.0,1.0
2021-01-01,11661704,,
2021-01-01,409171,95.0,30.0
2021-01-01,409171,93.0,8.0
2021-01-01,409171,146.0,1.0
2021-01-01,409171,145.0,10.0
2021-01-01,409171,104.0,1.0
2021-01-01,409171,151.0,3.0
2021-01-01,409171,156.0,1.0
2021-01-01,409171,26.0,1.0
2021-01-01,3116603,,
2021-01-01,71339655,,
2021-01-01,3217116,,
2021-01-01,7118317,,
2021-01-01,3221199,,
2021-01-01,71339752,2.0,1.0
2021-01-01,71339922,,
2021-01-01,26673908,,2.0
2021-01-01,26673908,111.0,1.0
2021-01-01,71443444,,
2021-01-01,71340009,,
2021-01-01,71339612,13.0,2.0
2021-01-01,3251501,,
2021-01-01,71443177,126.0,10.0
2021-01-01,26582406,,
2021-01-01,3143848,,
2021-01-01,71339728,54.0,1.0
2021-01-01,71339728,148.0,1.0
2021-01-01,71339728,28.0,2.0
2021-01-01,71339728,23.0,2.0
2021-01-01,2749947,,
2021-01-01,7986858,,
2021-01-01,2790840,,
2021-01-01,68954263,,
2021-01-01,7195389,,
2021-01-01,71443355,36.0,1.0
